id,organization,first_name,last_name,category_id,category,business_type,sex,phone_number_1,phone_number_1_organizational_position,phone_number_1_name,phone_number_1_ex,phone_number_1_note,phone_number_2,phone_number_2_name,phone_number_2_organizational_position,phone_number_2_ex,phone_number_2_note,phone_number_3,phone_number_3_name,phone_number_3_organizational_position,phone_number_3_ex,phone_number_3_note,phone_number_4,phone_number_4_name,phone_number_4_organizational_position,phone_number_4_ex,phone_number_4_note,phone_number_5,phone_number_5_name,phone_number_5_organizational_position,phone_number_5_ex,phone_number_5_note,phone_number_6,phone_number_6_name,phone_number_6_organizational_position,phone_number_6_ex,phone_number_6_note,fax,mobile_number_1,mobile_number_1_name,mobile_number_1_note,mobile_number_1_email,mobile_number_2,mobile_number_2_name,mobile_number_2_note,mobile_number_2_email,mobile_number_3,mobile_number_3_name,mobile_number_3_note,mobile_number_3_email,mobile_number_4,mobile_number_4_name,mobile_number_4_note,mobile_number_4_email,province,city,address_1,postal_code_1,address_2,postal_code_2,address_3,postal_code_3,description,customer_id,color,note,created_at,modified_at,owner,latest_editor,latest_editor_log,deleted_data,active
11,آصف سنگ,,سهرابی,, مشتریان صنعت رنگ,مصرف کننده,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09354474808,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
12,,, بیگی,, مشتریان صنعت رنگ,,مرد,021-33969320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,کارمند بیمه,, دیبا,, مشتریان صنعت رنگ,,مرد,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09194284021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,بانک پارسیان آپادانا,بانک پارسیان آپادانا, کامکار,, مشتریان صنعت رنگ,,مرد,021-88531475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,, نوری,, مشتریان صنعت رنگ,,مرد,021-88368458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,آلا رنگ,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-66960637,,,,,021-66406145,,,,, 021-66960639,,,,,,,,,,,,,,,,,,,,021-66406145,09123179478,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، بزرگراه آزادگان، جاده احمد آباد مستوفی، به طرف اسلامشهر، خیابان چناران،نبش کوچه، بوستان یکم",3313173584,,,,,,,,,,,,,,,
17,آلفا,,جمال شرافت,, مشتریان صنعت رنگ,مصرف کننده,,02177921657,,,,, 021-76266962,,,,,021-77314948,,,,,,,,,,,,,,,,,,,,"76262974, 021-76266516","09125877449, 09122937382",,,,,,,,,,,,,,,,تهران,جاجرود,"ایران تهران جاجرود آدرس 1(پستی) : تهران، جاجرود، شهرک صنعتی تپه سیف، روبروی 3 شرقی، پلاک 32",1653733317,,,,,,,,,,,,,,,
18,آمیکو-آذرفام پودری,,,, مشتریان صنعت رنگ,مصرف کننده,, 041-34206562 ,,,,,041-34207916,,,,,021-44566226,,,,,,,,,,,,,,,,,,,,041-34209066,09143145385,,,,,,,,,,,,,,,,آذربایجان شرقی,تبریز,"آدرس 2 : تهران، میدان آزادی، جاده مخصوص کرج، کیلومتر 6، بعد از ایران تایر، آمیکو ایران آذربایجان شرقی تبریز آدرس 1(پستی) : تبریز، سرد رود، جنب شهرک شهید رجایی، بلوار مطهری",5361717844,,,,,,,,,,,,,,,
19,آوا پلیمر پویا,,,, مشتریان صنعت رنگ,,,025-33340080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 2 : قم، شهرک صنعتی شکوهیه، میدان صنعت، خیابان یاس، قطعه 73 و 74 آدرس 1 (پستی) : تهران، شهر ری، اتوبان رجایی، روبروی کوی 13 آبان، پلاک 195
تلفن 55534510",1844833516,,,,,,,,,,,,,,,
20,آوا محیا شیمی,, ضبایحی,, مشتریان صنعت رنگ,تولید کننده مرکب,, 021-88895515,,,,,021-22573880,,,,,021-88906808,,,,,021-88806147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
21,آینده شیمی اصفهان,,,, مشتریان صنعت رنگ,,,031-45836944,,,,,031-45836109 ,,,,,,,,,,,,,,,,,,,,,,,,,031-45836945,,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 : اصفهان، منطقه صنعتی دولت آباد، خیابان اکباتان 8، پلاک 6",8341651763,,,,,,,,,,,,,,,
22,اترک شیمی شرق,,,, مشتریان صنعت رنگ,مصرف کننده,, 051-35412651,,,,,051-35412507,,,,, 051-35412653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,خراسان رضوی,مشهد,"ایران خراسان رضوی مشهد آدرس 1(پستی) :مشهد، شهرک صنعتی توس، فاز2، بلوار اندیشه، اندیشه 15",9185183878,,,,,,,,,,,,,,,
23,ارژنگ,,قهرمانی,, مشتریان صنعت رنگ,بازرگانی,,021-77898845,,,,, 021-77455962,,,,,021-77805513 ,,,,,,,,,,,,,,,,,,,,,09122933731,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران نارمک، چهارراه سرسبز، ساختمان 711، طبقه 1، واحد 2",,,,,,,,,,,,,,,,
24,اسپارتاک,,,, مشتریان صنعت رنگ,مصرف کننده,,0073-493251262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,استار,,کریم نژاد,, مشتریان صنعت رنگ,مصرف کننده,,021-56572489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56575698,09121263432,,,,,,,,,,,,,,,,تهران,رباط کریم,"ایران تهران رباط کریم آدرس 1 : تهران، رباط کریم، آدران، شهرک صنعتی کاظم آباد، صنعت 5، پلاک 14",3764171769,,,,,,,,,,,,,,,
26,,,اسلامی,, مشتریان صنعت رنگ,,مرد,0713-7744417 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,شیراز,,,,,,,,,,,,,,,,
27,,مرتضی,افشاری,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125125136,,,,,,,,,,,,,,,,,,"آدرس 1 : تهران، خیابان خیام جنوبی، خ مختاری، کوچه شبنم، پلاک یک، واحد یک",1197767511,,,,,,,,,,,,,,,
28,الکتروزرسازه,,کوثری,, مشتریان صنعت رنگ,مصرف کننده,, 023-34583497,,,,,021-88512460,,,,,021-22253077,,,,,02188765389,,,,,,,,,,,,,,,021-4583497,09121272703,,,,,,,,,,,,,,,,تهران تهران تهران,تهران تهران تهران,"ایران تهران تهران آدرس 1 : تهران، سهروردی شمالی، بین هویزه و خرمشهر، کوچه فیروزه، نبش کوچه دشتک، پلاک22، طبقه 5، واحد 1 ایران تهران تهران آدرس کارخانه :  جاده خاوران، بعد از پلیس راه شریف آباد، شهرک صنعتی ایوانکی، بلوار صنعت، خیابان صنعت 5، انتهای خیابان دست راست
آقای قربان طاهریان 09126948518 ایران تهران تهران آدرس دفتر: تهران، بلوار میرداماد، روبروی بانک مرکزی، خیابان تبریزیان، کوچه آسایی، پلاک 9، واحد 1",  ,,,,,,,,,,,,,,,
29,الوان پودر شهریار,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,021-65473710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"09125698440, 09121387323",,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 : ملارد، مارلیک، خوشنام، میدان امام حسین، بلوار آیت ال... کاشانی جنوبی، اولین کوچه سمت چپ، پلاک 121 ایران تهران تهران آدرس 1 :تهران، ملارد، بخش صفادشت، دهستان بی بی سکینه، روستای یوسف آباد قوام، خیابان شهید قوجالو (درختی)، کوچه شهید قاسم جع آدرس 3  (پستی) : کرج، فردیس، فلکه سوم، جنب داروخانه نیشابوری، خشکشویی پاکیزه، آقای صحبتی", 3164151484 3175885777,,,,,,,,,,,,,,,
30,,امید,امیری,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09129464077,,,,,,,,,,,,,,,,,,"آدرس 1 : پژوهشگاه علوم و فن آوری ، دانشگاه کاشان",,,,,,,,,,,,,,,,
31,,سینا,امیری,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123266478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,ایده پروران کوشای زنگان,,,, مشتریان صنعت رنگ,,,024-32385038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09127432321,,,,,,,,,,,,,,,,,,"آدرس 2 : زنجان، شهرک کارمندان فاز2 خیابان چهارم غربی پلاک 752 واحد 3 آدرس 3 (پستی) : زنجان، کوی فرهنگ، نیلوفر 14، پلاک 1085",4513996138 4519933411,,,,,,,,,,,,,,,
33,ایران باب,,,, مشتریان صنعت رنگ,مصرف کننده,,021-33110111,,,,,021-33110115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
34,ایران شرکا,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88884024,,,,, 021-88771776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران خیابان ولیعصر، بالاتر از میدان ونک، خیابان نگار، پلاک 47، طبقه 1  ",1969855393,,,,,,,,,,,,,,,
35,ایریتیک,,,, مشتریان صنعت رنگ,مصرف کننده,,021-81282264,,,,,021-81282265,,,,,,,,,,,,,,,,,,,,,,,,,021-81282121,09123436426,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران میدان ونک ، بالاتر از چهارراه جهان کودک، خیابان گاندی شمالی، نبش شهید صانعی، پلاک 7        پلاک 3، حسابداری",,,,,,,,,,,,,,,,
36,,ایلبیگی,ایلدر,, مشتریان صنعت رنگ,,مرد,021-77925395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,علیرضا,ایواز,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09127756022,,,,,,,,,,,,,,,,,,"آدرس 1 :تهران،  شریف آباد،میدان فلسطین،کوی بهار،پلاک 20",3391149549,,,,,,,,,,,,,,,
38,بابکوی شیمی,,نخجیری,, مشتریان صنعت رنگ,مصرف کننده,,021-88747254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
39,بازرگانی سهند,,عبدی,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09123099179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,باژاک,,,, مشتریان صنعت رنگ,مصرف کننده,,021-2345297,,,,,086-42345293,,,,,021-88770505,,,,,02188878282,,,,,,,,,,,,,,,086-42345294,09123237738,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 2 (پستی) : تهران، خیابان ولیعصر، نرسیده به توانیر، جنب مانتو بلوچ، شماره 2470 ایران تهران تهران آدرس 1 : مرکزی، ساوه، شهر صنعتی کاوه، خیابان 17",3914176314,,,,,,,,,,,,,,,
41,رنگ,,باقری,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09121364173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,برسام صنعت بردیا-آلا  فام آسیا,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-76266836 ,,,,,021-76266826,,,,,021-22890012,,,,,02176263636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"آدرس 1 :قم، شهرک صنعتی محمود آباد، فاز 2، بلوار خلیج فارس، نبش فرعی 10، قطعه sm130 sm131 آدرس 2 (پستی)  : تهران، جاده آبعلی، منطقه صنعتی کمرد، خیابان آنتن مریخ، پلاک 62",3733193531 1653133798,,,,,,,,,,,,,,,
43,بسپار توسعه یاران,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09301503350,,,,,,,,,,,,,,,,,,"آدرس 1 :تهران، کیلومتر 17 اتوبان تهران  کرج، شهرک پژوهش، مرکز فناوری پلیمر، ساختمان 2، واحد 76",1497713115,,,,,,,,,,,,,,,
44,,,بصیری پور,, مشتریان صنعت رنگ,,مرد, 031-42696658,,,,,031-42696658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,بنگاه مدرن,,,, مشتریان صنعت رنگ,,,021-56545801,,,,,021-56545802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,بهرنگ,,خانم عباسی ,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,,051-35413651,,,,,051-35413656,,,,,,,,,,,,,,,,,,,,,,,,,051-35412650,,,,,,,,,,,,,,,,,خراسان رضوی,مشهد,ایران خراسان رضوی مشهد ,,,,,,,,,,,,,,,,
47,بهرنگ یزد,,,, مشتریان صنعت رنگ,مصرف کننده,,035-372730336,,,,,035-37273036,,,,,,,,,,,,,,,,,,,,,,,,,035-37273034,,,,,,,,,,,,,,,,,,,"ایران شهرک صنعتی، فاز 2 شیمیایی، ابتدای جاده صنایع لاستیک، جنب ایستگاه گاز",,,,,,,,,,,,,,,,
48,بهرو فران,,روح بخش ,, مشتریان صنعت رنگ,تولید کننده مرکب,, 021-3854220,,,,, 021-3844220,,,,,021-44502069,,,,,021-22842317,,,,,,,,,,,,,,,021-22843353,09121143737,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 : تهران، تهران، خیابان شریعتی، خیابان دشتستان دوم، شماره 23، طبقه اول",1947934914,,,,,,,,,,,,,,,
49,بهین تامین صدراد کاران آسیا,,,, مشتریان صنعت رنگ,,,031-36644521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09133073843,,,,,,,,,,,,,,,,,,"آدرس 3(پستی) : اصفهان، خیابان میر، کوی سپاهان( شماره 25)، پلاک 49، واحد 3",8164984473,,,,,,,,,,,,,,,
50,پات شیمی,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88003235,,,,,021-3827999 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
51,پارس اشن,,,, مشتریان صنعت رنگ,مصرف کننده,,2188448501,,,,,021-88448508,,,,,02188415966,,,,,021-88436554,,,,,,,,,,,,,,,021-88417601,"09128751775, 09122808569, 09128441511",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :سمنان، گرمسار، منطقه صنعتی حاجی آباد، جنب پمپ بنزین، کارخانه رنگسازی پارس اشن آدرس 3 ( بلورچی) : تهران، ونک،  ملاصدرا،  شیخ بهایی شمالی،  بالاتر از میدان شیخ بهایی،  کوچه انصاری آزاد،  پلاک 4، واحد6 آدرس 2 (پستی) : تهران، عباس آباد، نرسیده به سهروردی، خیابان داریوش، پلاک 11، واحد 8، طبقه 4",3988114854 1995744991 1569753319,,,,,,,,,,,,,,,
52,پارس البرز پوشش,,,, مشتریان صنعت رنگ,مصرف کننده,,021-44630129,,,,,021-44691923,,,,,021-44660245,,,,,021-44690810,,,,,,,,,,,,,,,021-44690848,,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی) :تهران، شهرک اکباتان، بلوار شهید نفیسی، روبروی دبیرستان شهید عموئیان، ساختمان اداری تجاری آریو، واحد 301",1393864517,,,,,,,,,,,,,,,
53,پارس الماس,,,, مشتریان صنعت رنگ,مصرف کننده,,02156863661,,,,,021-44491836,,,,,02156863663,,,,,,,,,,,,,,,,,,,,,09121134676,,,,,,,,,,,,,,,,تهران,تهران,"آدرس 3 (پستی) : تهران، بزرگراه اشرفی اصفهانی، تقاطع همت و اشرفی، خیابان 22 بهمن، خیابان شهید نیک زارع(پیروزی)، پلاک 12، جنب آژانس غزال آدرس 2 :تهران،  اشرفی اصفهانی پل همت خ نیک زارع پلاک 12 واحد1 ایران تهران تهران آدرس 1 : تهران، رباط کریم، بهارستان، شهرک صنعتی قلعه میر، خیابان شهدایصنعت، جاده قرمز، کوچه مهتاب، رنگ پارس الماس",1473186115  3113688613,,,,,,,,,,,,,,,
54,پارس الوان هاویلوکس,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-44522019,,,,,021-44525489,,,,,021-44525488,,,,,021-44525663,,,,,,,,,,,,,,,021-44525480,09121149260,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران کیلومتر 10 جاده مخصوص کرج، بعد از شرکت  پارس مینو، شرکت رنگ هاویلوکس  ",1399831198,,,,,,,,,,,,,,,
55,پارس پامچال,,,, مشتریان صنعت رنگ,مصرف کننده,, 021-88504253,,,,,021-88731030,,,,, 021-88504254,,,,,,,,,,,,,,,,,,,,"021-88839917, 021-88504255",09121959074,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 (پستی) : تهران، خیابان دکتر بهشتی، خیابان بخارست، کوچه دوم پژوهشگاه، پلاک 10، طبقه اول",1514615113,,,,,,,,,,,,,,,
56,پارس پترو مروارید,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09125218351,,,,,,,,,,,,,,,,,,"ادرس 2 (پستی): تهران،  شریعتی، پایین تر از سه راه طالقانی، جنب بیمارستان پاسارگاد، ساختمان دریس، واحد 201 آدرس 1 : شهرک شکوهیه، بلوار آیت الله خامنه ای، نیلوفر 5، پلاک 33  = ادرس 1",1561937455 3738113569,,,,,,,,,,,,,,,
57,پارس پوشش خاوران,,,, مشتریان صنعت رنگ,,,021-36460256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,021-36460252,09120360107,,,,,,,,,,,,,,,,,,"آدرس 2 (پستی):  تهران، خاوران، بزرگراه امام رضا، روبروی پمپ بنزین خاتون آباد، جنب مجتمع رضا آدرس 1 :تهران،  پایین تر از شریف آباد، بلوار امام رضا، خیابان سهند، پلاک 1",3391197946,,,,,,,,,,,,,,,
58,پارس سیمین,,,, مشتریان صنعت رنگ,مصرف کننده,,013-34422166~77,,,,,013-34422177,,,,,013-34422166,,,,,,,,,,,,,,,,,,,,013-34422166,09114662355,,,,,,,,,,,,,,,,گیلان,رشت,"ایران گیلان رشت آدرس 1(پستی) : گیلان، رشت، خمام، کیلومتر 5 جاده رشت انزلی",4341983741,,,,,,,,,,,,,,,
59,پارس شمین,,,, مشتریان صنعت رنگ,مصرف کننده,,021-77313116,,,,,021-77313118,,,,,,,,,,,,,,,,,,,,,,,,,,09121130474,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران، جاده آبعلی ، خیابان سازمان آب ، 15 متری نوروزی، پلاک 3",1658954971,,,,,,,,,,,,,,,
60,پارس مارین,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران خیابان قائم مقام فراهانی.پایین تر از مطهری.کوچه شبنم.پلاک 11.واحد1,,,,,,,,,,,,,,,,
61,,,پارسا,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09120868910,,,,,,,,,,,,,,,,,,"آدرس 1:تهران، رباط کریم، بلوار آزادگان، کوچه آزادگان3 ، پلاک 1، واحد 27",,,,,,,,,,,,,,,,
62,پارسیفام,,,, مشتریان صنعت رنگ,مصرف کننده,,02188064570,,,,,021-65764963,,,,,021-880643157,,,,,021-88064317,,,,,,,,,,,,,,,021-65764969,09127125539,,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1 :تهران،  ملاصدرا، خیابان شیراز جنوبی، خیابان سامان، ساختمان پاسارگاد، پلاک57، طبقه 1، واحد3آ",,,,,,,,,,,,,,,,
63,پایا رنگ,,میرزا بیگی,, مشتریان صنعت رنگ,مصرف کننده,,021-65518740,,,,,021-65518742,,,,,,,,,,,,,,,,,,,,,,,,,021-65528390,09121937048,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
64,پایا فام پارس,,,, مشتریان صنعت رنگ,مصرف کننده,,031-36253889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,09132707750,,,,,,,,,,,,,,,,اصفهان,اصفهان,"ایران اصفهان اصفهان آدرس 1 :اصفهان،  خیابان امام خمینی، کوچه مجاهد، بن بست سلامت",8139655943,,,,,,,,,,,,,,,
65,پترو تدارک,,,, مشتریان صنعت رنگ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88835455,09123757650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,پرتو فولاد فام,,,, مشتریان صنعت رنگ,مصرف کننده,, 031-45643256,,,,,031-36636272,,,,,,,,,,,,,,,,,,,,,,,,,031-36626210,,,,SINA1339@YAHOO.COM,,,,,,,,,,,,,اصفهان,مورچه خورت,"ایران اصفهان مورچه خورت آدرس 1 : اصفهان، خیابان شیخ صدوق، بن بست ندا، پلاک 396",8164813383,,,,,,,,,,,,,,,
67,پرند شیمی,,,, مشتریان صنعت رنگ,مصرف کننده,,021-88748543,,,,,021-88748544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تهران,تهران,ایران تهران تهران ,,,,,,,,,,,,,,,,
68,پکا شیمی,,,, مشتریان صنعت رنگ,تولید کننده رنگ پودری,, 021-83824,,,340,,021-83825000,,,204,,,,,,,,,,,,,,,,,,,,,,"021-82203496, 021-82208983","09121254081, 09121947400, 09121211448",,,,,,,,,,,,,,,,تهران,تهران,"ایران تهران تهران آدرس 1(پستی): تهران، کیلومتر35 اتوبان قم  تهران، شهرک صنعتی شمس آباد، انتهای بلوار بهارستان، روبروی خیابان بوعلی سینا، قطعه تی ام55    حدوداً آخرین شرکت و سفالهای قرمز سر در",1834179433,,,,,شماره کارت بازرگانی :10101934478,,,,,,,,,,
