,Name,Middle Name,Department,Phone,Phone mobile,Account number,Address,Address 1: Address Type,Address 1: City,Address 1: Fax,Address 1: Name,Address 1: Phone,Address 1: Post Office Box,Address 1: Street 1,Address 1: Street 2,Address 1: Street 3,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 1: ZIP/Postal Code,Address 2,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Name,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: ZIP/Postal Code,Address 3: Telephone3,Address 3: UPS Zone,Assistant,Assistant Phone,Back Office Customer,Bank account,Bank information,Business Phone 2,Callback Number,card number,chekad account type,chekad account type1,Company Name,Company Phone,Description,Email,Fax,First Name,Hold Sync,Home Phone,Home Phone 2,Last Name,Ledger,Manager,Manager Phone,Marital Status,Marketing Only,Note,Note2,Note3,Note4,Note5,Note6,phon2,phone1,Role,ROO,sex,sheba number,Telephone 3
,,,اداره ثبت شرکتها,0,,,"تهران-میدان امام، ضلع جنوبی پارک شهر، خیابان بهشت، جنب پزشکی قانونی، روزنامه رسمی
تهران, تهران",,تهران,,,,," تهران-میدان امام، ضلع جنوبی پارک شهر، خیابان بهشت، جنب پزشکی قانونی، روزنامه رسمی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره ثبت شرکتها,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره ثبت گرمسار,02324224355,"09120811470, 09120977547",,"سمنان-گرمسار-گرمسار، خیابان تختی، نبش خیابان حیدر کمالی، روبروی دبیرستان، سر نبش
گرمسار, سمنان 3581764711",,گرمسار,,,,," سمنان-گرمسار-گرمسار، خیابان تختی، نبش خیابان حیدر کمالی، روبروی دبیرستان، سر نبش",,,,,,,3581764711,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,023204224355,,No,02334240580,02324230346,اداره ثبت گرمسار,, ,,,No,,,,,,,,,,,آقا,,02324240896
,,,اداره دارایی ایوانکی,02334521313,,,"سمنان-دامغان-ایوانکی، نبش میدان امام
دامغان, سمنان",,دامغان,,,,," سمنان-دامغان-ایوانکی، نبش میدان امام",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02334522140,02334524378,اداره دارایی ایوانکی,, ,,,No,,,,,,,,,,,آقا,,02334524666
,,,اداره دارایی سمنان,02333322105,09124830398,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02333465107,02333465106,اداره دارایی سمنان,, ,,,No,,,,,,,,,,,آقا,,02333322104
,,,اداره دارایی مالیات ارزش افزوده,02177957148,,,"تهران-سی متری نارمک، نبش خیابان جویبار شرقی، پلاک 269، طبقه همکف
تهران, تهران",,تهران,,,,," تهران-سی متری نارمک، نبش خیابان جویبار شرقی، پلاک 269، طبقه همکف",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره دارایی مالیات ارزش افزوده,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره کار ایوانکی,02334520950,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره کار ایوانکی,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره کاریابی آفتاب شرق,02923425755,,,"تهران-عباس آباد
تهران, تهران",,تهران,,,,, تهران-عباس آباد,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره کاریابی آفتاب شرق,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره گاز,0,"09122120991, 09191923406",,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره گاز,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره مالیات بر ارزش افزوده,02177419932,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021088930216,,No,02177419931,02177419930,اداره مالیات بر ارزش افزوده,, ,,,No,,,,,,,,,,,آقا,,02177486673
,,,اداره مالیات جویبار,02177957163,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177909286,0,اداره مالیات جویبار,, ,,,No,,,,,,,,,,,آقا,,02177909754
,,,اداره مالیات حقوق,02313345463,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره مالیات حقوق,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره مالیات سمنان,02314465108,,,"سمنان-گرمسار- میدان کوثر، کوچه شهید قندی 2 ساختمان 2، طبقه 4
گرمسار, سمنان",,گرمسار,,,,," سمنان-گرمسار- میدان کوثر، کوچه شهید قندی 2 ساختمان 2، طبقه 4",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,023103331523,,No,02314465114,0,اداره مالیات سمنان,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره مالیات شرق,02177922027,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اداره مالیات شرق,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره مالیات شرق تهران,02177210079,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021077131648,,No,0,0,اداره مالیات شرق تهران,, ,,,No,,,,,,,,,,,آقا,,0
,,,اداره مالیاتی آریا کامپوزیت کالا,02177419930,,,"تهران-خیابان دماوند، نرسیده به چهارراه خاقانی، نبش خیابان بلال حبشی، طبقه اول
تهران, تهران",,تهران,,,,," تهران-خیابان دماوند، نرسیده به چهارراه خاقانی، نبش خیابان بلال حبشی، طبقه اول",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177484644,0,اداره مالیاتی آریا کامپوزیت کالا,, ,,,No,,,,,,,,,,,آقا,,02177486673
,,,اداره مالیاتی کل,02188920416,,,"تهران-خیابان استاد نجات اللهی، نرسیده به سمیه، نبش کوچه محمدی
تهران, تهران",,تهران,,,,," تهران-خیابان استاد نجات اللهی، نرسیده به سمیه، نبش کوچه محمدی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188920415,0,اداره مالیاتی کل,, ,,,No,,,,,,,,,,,آقا,,02188920417
,,,ادراه کل محیط زیست استان سمنان,02333373800,,,"سمنان-سمنان-میدان استاندارد، بلوار جوان، انتهای بلوار جوان، اداره کل محیط زیست
سمنان, سمنان",,سمنان,,,,," سمنان-سمنان-میدان استاندارد، بلوار جوان، انتهای بلوار جوان، اداره کل محیط زیست",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,023033373805,,No,0,0,ادراه کل محیط زیست استان سمنان,, ,,,No,,,,,,,,,,,آقا,,0
,,,ادراه محیط زیست تهران,02177355781,,,"سه راه تهرانپارس، کیلومتر 85 بزرگراه شهید یاسینی شرق، داخل پارک سرخه حصار، گل مریم",,,,,,,"سه راه تهرانپارس، کیلومتر 85 بزرگراه شهید یاسینی شرق، داخل پارک سرخه حصار، گل مریم",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02142781000,0,ادراه محیط زیست تهران,, ,,,No,,,,,,,,,,,آقا,,0
,,,ارزش افزوده  ( آریا کامپوزیت),02177587259,,,چهارراه نظام آباد,,,,,,,چهارراه نظام آباد,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02177587259,0,ارزش افزوده  ( آریا کامپوزیت),, ,,,No,,,,,,,,,,,آقا,,0
,,,استاندارد کرج,02612541340,,,"البرز-کرج-اتوبان تهران،کرج، بعد از پل فردیس، اولین خروجی دوربرگردان دور بزنیم، میدان استاندارد به سمت چپ، 500 یا 600متر جلوتر نبش بانک ملی
کرج, البرز",,کرج,,,,," البرز-کرج-اتوبان تهران،کرج، بعد از پل فردیس، اولین خروجی دوربرگردان دور بزنیم، میدان استاندارد به سمت چپ، 500 یا 600متر جلوتر نبش بانک ملی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,026132806031,0,استاندارد کرج,, ,,,No,,,,,,,,,,,آقا,,0
,,,اطلاعات ایوانکی,0232462333,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,اطلاعات ایوانکی,, ,,,No,,,,,,,,,,,آقا,,0
,,,امور ناریه صنعت معدن ,02188962756,09125578094,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,امور ناریه صنعت معدن ,, ,,,No,,,,,,,,,,,آقا,,0
,,,انجمن رنگ,0,09124986865,,"تهران-جردن، کوی ارمغان شرقی، شماره13، طبقه 6
تهران, تهران 1653786896",,تهران,,,,," تهران-جردن، کوی ارمغان شرقی، شماره13، طبقه 6",,,,,,,1653786896,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,faraz.jebelli@gmail.com,022084236,,No,02122047195,02122047196,انجمن رنگ,, ,,,No,,,,,,,,,,,آقا,,02122047197
,,,انجمن معلولین,02133606039,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,انجمن معلولین,, ,,,No,,,,,,,,,,,آقا,,0
,,,انیستیتو پاستور ایرن,02166405535,,,"تهران-میدان پاستور، خیابان پاستور، خیابان 12 فروردین، پلاک 69  
تهران, تهران 13164",,تهران,,,,," تهران-میدان پاستور، خیابان پاستور، خیابان 12 فروردین، پلاک 69  ",,,,,,,13164,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021066465132,,No,02166953312,02166953311,انیستیتو پاستور ایرن,, ,,,No,,,,,,,,,,,آقا,,02166953313
,,,ایران کد,02612541340,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,ایران کد,, ,,,No,,,,,,,,,,,آقا,,0
,,,بازرگانی سمنان بلند,02333441115,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,بازرگانی سمنان بلند,, ,,,No,,,,,,,,,,,آقا,,0
,,,بهداشت منطقه,02177832507,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,بهداشت منطقه,, ,,,No,,,,,,,,,,,آقا,,0
,,,بیمه تامین اجتماعی ایوانکی,02334524046,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,بیمه تامین اجتماعی ایوانکی,, ,,,No,,,,,,,,,,,آقا,,0
,,,پایش قومش,02333361272,09124312140,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,023033335162,,No,0,0,پایش قومش,, ,,,No,,,,,,,,,,,آقا,,0
,,,تالار گفتگوی محیط زیست شهری,02166566270,,,"تهران-خیابان ولیعصر، خیابان توانیر، خیابان نظامی گنجوی، بوستان نظامی گنجوی
تهران, تهران",,تهران,,,,," تهران-خیابان ولیعصر، خیابان توانیر، خیابان نظامی گنجوی، بوستان نظامی گنجوی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,آقای حیدرزاده   66566250,,0,,No,0,0,تالار گفتگوی محیط زیست شهری,, ,,,No,,,,,,,,,,,آقا,,0
,,,ثبت شرکتها,02122268917,,,"تهران-بزرگراه مدرس، تقاطع میرداماد،  پلاک 275، طبقه اول 
تهران, تهران",,تهران,,,,," تهران-بزرگراه مدرس، تقاطع میرداماد،  پلاک 275، طبقه اول ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02122268918,02122251047,ثبت شرکتها,, ,,,No,,,,,,,,,,,آقا,,02122268919
,,,خانه صنعت و معدن,0,,,"آدرس : اتاق بازرگانی سمنان ، پشت پمپ بنزین",,,,,,,"آدرس : اتاق بازرگانی سمنان ، پشت پمپ بنزین",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,خانه صنعت و معدن,, ,,,No,,,,,,,,,,,آقا,,0
,,,خیریه خانم سیادت و بدری,0,09127606475,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,خیریه خانم سیادت و بدری,, ,,,No,,,,,,,,,,,آقا,,0
,,,دارایی ارزش افزوده آریا کامپوزیت,0,,,"آدرس : تهران، جنت آباد جنوبی، میدان چهار باغ، چهار باغ شرقی، چهار راه دوم، سر نبش",,,,,,,"آدرس : تهران، جنت آباد جنوبی، میدان چهار باغ، چهار باغ شرقی، چهار راه دوم، سر نبش",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,044627818,,No,044484995,0,دارایی ارزش افزوده آریا کامپوزیت,, ,,,No,,,,,,,,,,,آقا,,0
,,,دفتر حقوقی نارمک,02177914620,,,"تهران-خیابان دردشت، به سمت مترو، اولین چهارراه سمت راست ، روبروی بانک صادرات، بالای کفش فروشی
تهران, تهران",,تهران,,,,," تهران-خیابان دردشت، به سمت مترو، اولین چهارراه سمت راست ، روبروی بانک صادرات، بالای کفش فروشی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,دفتر حقوقی نارمک,, ,,,No,,,,,,,,,,,آقا,,0
,,,روزنامه رسمی,02155604095,,,"تهران-ضلع جنوبی پارک شهر، خیابان بهشت، ساختمان روزنامه رسمی،طبقه اول، اتاق 10
تهران, تهران",,تهران,,,,," تهران-ضلع جنوبی پارک شهر، خیابان بهشت، ساختمان روزنامه رسمی،طبقه اول، اتاق 10",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02155602051,02155602052,روزنامه رسمی,, ,,,No,,,,,,,,,,,آقا,,02155602050
,,,سازمان استاندارد ,02188879461,,,"تهران-ونک
تهران, تهران",,تهران,,,,, تهران-ونک,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,سازمان استاندارد ,, ,,,No,,,,,,,,,,,آقا,,0
,,,سازمان استاندارد و تحقیقات ,02632806033,,,"البرز-کرج-بعد از پل فردیس، اولین خروجی، بعد از اولین دوربرگردان را دور بزند، از زیر پل رد بشود، میدان استاندارد، دست چپش خیابان ذوب آهن را وارد شوید  
کرج, البرز",,کرج,,,,," البرز-کرج-بعد از پل فردیس، اولین خروجی، بعد از اولین دوربرگردان را دور بزند، از زیر پل رد بشود، میدان استاندارد، دست چپش خیابان ذوب آهن را وارد شوید  ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,026302808114,,No,02632806034,02632806032,سازمان استاندارد و تحقیقات ,, ,,,No,,,,,,,,,,,آقا,,02632806033
,,,سازمان پژوهشهای علمی صنعتی ایران,02188828053,,,"تهران-خیابان انقلاب، میدان فردوسی، خیابان شهید سید عباس موسوی، فرصت سابق، شماره 27 
تهران, تهران",,تهران,,,,," تهران-خیابان انقلاب، میدان فردوسی، خیابان شهید سید عباس موسوی، فرصت سابق، شماره 27 ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02188828051,02188828052,سازمان پژوهشهای علمی صنعتی ایران,, ,,,No,,,,,,,,,,,آقا,,02188828054
,,,سازمان صنعت معدن و تجارت سمنان,02314441102,09121317149,,"سمنان-سمنان- میدان معلم، مجتمع اداری سازمان صنایع و معادن
سمنان, سمنان 3519834875",,سمنان,,,,," سمنان-سمنان- میدان معلم، مجتمع اداری سازمان صنایع و معادن",,,,,,,3519834875,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,تأییدیه فکس: فیاض   02314441039 33441115,,023104441419,,No,02314441103,02314441101,سازمان صنعت معدن و تجارت سمنان,, ,,,No,,,,,,,,,,,آقا,,02314441104
,,,سازمان مدیریت صنعتی,02122041082,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02122013408,02122043007,سازمان مدیریت صنعتی,, ,,,No,,,,,,,,,,,آقا,,02122043005
,,,سامانه جام,0,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,سامانه جام,, ,,,No,,,,,,,,,,,آقا,,0
,,,سفارت ایران در چین,0861065324871,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,08602164332742,,No,0861065624872,0,سفارت ایران در چین,, ,,,No,,,,,,,,,,,آقا,,0861065324870
,,,سفارت پاریس,02164094000,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02164094001,0,سفارت پاریس,, ,,,No,,,,,,,,,,,آقا,,0
,,,سفارت چین 1,02122806662,,,"تهران-خیابان پاسداران ، نارنجستان7، بالاتر از برج سفید، سمت راست
تهران, تهران",,تهران,,,,," تهران-خیابان پاسداران ، نارنجستان7، بالاتر از برج سفید، سمت راست",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02122806663,02122806660,سفارت چین 1,, ,,,No,,,,,,,,,,,آقا,,02122806661
,,,سفارت سوئد,02122298314,,,"تهران-پاسداران شمالی، بالاتر از فرمانیه، خیابان بوستان ، نبش نسترن، شماره27 
تهران, تهران",,تهران,,,,," تهران-پاسداران شمالی، بالاتر از فرمانیه، خیابان بوستان ، نبش نسترن، شماره27 ",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021023712200,,No,02122296802,0,سفارت سوئد,, ,,,No,,,,,,,,,,,آقا,,0
,,,شرکت شهرکهای صنعتی استان سمنان,02333370723,,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,شرکت شهرکهای صنعتی استان سمنان,, ,,,No,,,,,,,,,,,آقا,,0
,,,شهرداری,02122327558,,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02122327556,0,شهرداری,, ,,,No,,,,,,,,,,,آقا,,02122327557
,,,شهرداری زیبا سازی منطقه 18,0216630373,09123254778,,"تهران-
تهران, تهران",,تهران,,,,, تهران-,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,شهرداری زیبا سازی منطقه 18,, ,,,No,,,,,,,,,,,آقا,,0
,,,شهرک صنعتی ایوانکی,02334583300,09122312788,,,,,,,,,,,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,02334583404,0,شهرک صنعتی ایوانکی,, ,,,No,,,,,,,,,,,آقا,,0
,,,صنایع دفاع شهید علیرضا نوری,02177000447,09122758066,,"تهران-جاده دماوند، بعد از بیمارستان سرخه حصار، جاده نظامی خجیر، انتظامات دوم، واحد بازرگانی
تهران, تهران",,تهران,,,,," تهران-جاده دماوند، بعد از بیمارستان سرخه حصار، جاده نظامی خجیر، انتظامات دوم، واحد بازرگانی",,,,,,,,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,021077005324,,No,02177311349,0,صنایع دفاع شهید علیرضا نوری,, ,,,No,,,,,,,,,,,آقا,,0
,,,صنایع شیمیایی پارسیان کیمیا فام,0,09121005001,,"آدرس 1(پستی) : تهران، سعادت آباد، میدان کاج، سرو شرقی، پلاک 74، مجتمع پایدار، طبقه 3، واحد 304
1998991964",,,,,,,"آدرس 1(پستی) : تهران، سعادت آباد، میدان کاج، سرو شرقی، پلاک 74، مجتمع پایدار، طبقه 3، واحد 304",,,,,,,1998991964,,Default Value,,,,,,,,,,,,,,,,,,No,,,,,,Business audience,Business audience,,,,,0,,No,0,0,صنایع شیمیایی پارسیان کیمیا فام,, ,,,No,,,,,,,,,,,آقا,,0
